6,12,2,0,19
7,11.5,2.5,0,21
9,5,1.5,0,17.5
13,5,2,0,18
15,6,2,0,17
18,5,1.5,0,16.5
20,6,2,0,19
24,17,2.5,0.5,22.5
25,10.5,1.5,0.5,21
26,13,2.5,1,22
27,11.5,2.5,0,20.5
28,5,2,1.5,18
36,5.5,2,0,19
39,11,3,1.5,21
41,7.5,2.5,0,19
42,4.5,1.5,0,18.5
44,7,2,0,17
49,5,2,0,18.5
50,5,2,0,19
58,13,2,0,22
62,15,2,0,24
63,14,2.5,0,21.5
64,16.5,3,0,23
66,17,3,0,22.5
67,15.5,2,0,23.5
68,13,2.5,0.5,25
71,16,2,3.5,21.5
75,14,2.5,0,19.5
76,10,1.5,0,18
77,12,2,0,19
78,11,3,1.5,19.5
79,11.5,3,1,21
81,4,2,0,17
84,7.5,2,0.5,17.5
85,7.5,2,0,20.5
87,5.5,2,0,17
90,6,1.5,1,18.5
94,6.5,2,0,17.5
101,8,2,0,18.5
105,7.5,2,0.5,21
106,6,2,0.5,18
107,8,2,0,17
108,7.5,2.5,0,19
109,7.5,2,0,17.5
110,7,2,0,18.5
111,8,2.5,1,19
112,7.5,2,0,18.5
113,6,2,1,19
114,11,2,0,18
115,11,2,0,20
118,7.5,2,0.5,20
119,7,1.5,0,16.5
120,11,2,0.5,18.5
121,4,2,0.5,16
122,8.5,2,1,18
128,8,2,0,19.5
133,5,1.5,0,16.5
134,4.5,2,0,17
135,7,2.5,0.5,18.5
136,5,2,0,18.5
137,7,2,1,19.5
138,7.5,2,0.5,20
139,7.5,1.5,0,21
140,6.5,2,0.5,17.5
141,4,2,0,18.5
142,4.5,2,1,19
144,7,2.5,1,18
146,4,2,0,17
152,5,1.5,0,18.5
157,5,1.5,0,17.5
160,5,2,1,18
164,4,2,0,20
165,4.5,2,0.5,17.5
166,7,2,0,19
167,5.5,2,0,17.5
173,9,2,0,20
174,8,2,0,17.5
175,8.5,2.5,0,18
180,7.5,2,0,19.5
181,7,2,0,19
184,8.5,2,0,19
186,5.5,2,0,23.5
187,8.5,2,0,18.5
188,8,2,0,18
189,8,2.5,0,19.5
192,8,2,0,17.5
