"850b",3.0,2.0,1.5,19
"272b",3.5,2.0,1.5,19
796,4.7,2.0,1.5,19
866,5.5,2.0,1.5,16.5
218,3.0,1.5,1.5,16.5
57,3.5,1.5,1.5,13.5
617,4.0,1.0,1.5,15.5
225,11.5,3.0,2,20
693,13.5,2.5,2,20.5
272,12.0,2.5,2,20
"860b",4.5,2.5,2,17.5
"836b",3.5,2.0,2,19.5
"78b",4.2,2.0,2,19.5
833,7.0,2.0,2,17.5
529,3.8,1.5,2,19.5
"833b",4.7,2.0,2.5,17.5
